FUNCTION                                    CALLS      %   TIME  [uS / CALLS]
--------                                    -----    ---   ----  [----------]
io_lib:do_format_prompt/2                       2   0.00      0  [      0.00]
gen:call/4                                      1   0.00      0  [      0.00]
gen:do_call/4                                   1   0.00      0  [      0.00]
erl_scan:scan/6                                 2   0.00      0  [      0.00]
lists:umerge2_2/4                               6   0.00      0  [      0.00]
io_lib_format:uniconv/1                         2   0.00      0  [      0.00]
erl_lint:merge_used/2                           1   0.00      0  [      0.00]
erl_lint:format_function/5                      2   0.00      0  [      0.00]
erl_lint:'-vtnew/2-fun-0-'/3                    1   0.00      0  [      0.00]
erl_lint:'-zip_file_and_line/2-fun-1-'/2        9   0.00      0  [      0.00]
gen_server:cast_msg/1                           2   0.00      0  [      0.00]
erlang:spawn/1                                  1   0.00      0  [      0.00]
erlang:exit/1                                   2   0.00      0  [      0.00]
io:getopts/0                                    2   0.00      1  [      0.50]
io:getopts/1                                    2   0.00      1  [      0.50]
io:requests/2                                   2   0.00      1  [      0.50]
io:io_requests/2                                2   0.00      1  [      0.50]
edlin:start/2                                   2   0.00      1  [      0.50]
io_lib:write_atom/1                             2   0.00      1  [      0.50]
io_lib:name_chars/1                            11   0.00      1  [      0.09]
gb_sets:balance_list/2                          4   0.00      1  [      0.25]
gb_sets:from_list/1                             4   0.00      1  [      0.25]
ordsets:union/2                                 1   0.00      1  [      1.00]
group:new_stack/1                               2   0.00      1  [      0.50]
group:get_lines/1                               2   0.00      1  [      0.50]
group:get_all_lines/1                           2   0.00      1  [      0.50]
erl_scan:tokens1/7                              2   0.00      1  [      0.50]
erl_scan:scan_variable/6                        1   0.00      1  [      1.00]
erl_scan:location/2                             2   0.00      1  [      0.50]
erl_eval:check_command/2                        2   0.00      1  [      0.50]
erl_eval:do_apply/6                             2   0.00      1  [      0.50]
erl_eval:binding/2                              1   0.00      1  [      1.00]
tuple_space:'-find_all_matches/2-fun-0-'/2      3   0.00      1  [      0.33]
lists:flatmap/2                                 2   0.00      1  [      0.50]
lists:mapfoldl/3                                2   0.00      1  [      0.50]
sets:mk_seg/1                                   2   0.00      1  [      0.50]
dict:store/3                                    2   0.00      1  [      0.50]
dict:store_bkt_val/3                            2   0.00      1  [      0.50]
dict:maybe_expand/2                             2   0.00      1  [      0.50]
dict:maybe_expand_aux/2                         2   0.00      1  [      0.50]
io_lib_format:adjust/3                          2   0.00      1  [      0.50]
io_lib_format:cond_lowercase/2                  2   0.00      1  [      0.50]
erl_lint:exprs/3                                4   0.00      1  [      0.25]
erl_lint:expr_var/4                             1   0.00      1  [      1.00]
erl_lint:vtmerge_pat/2                          1   0.00      1  [      1.00]
erl_lint:merge_lines/2                          1   0.00      1  [      1.00]
erl_lint:modify_line/2                          2   0.00      1  [      0.50]
erl_lint:check_remote_function/5                2   0.00      1  [      0.50]
erl_lint:'-vtold/2-fun-0-'/3                    1   0.00      1  [      1.00]
erl_lint:'-vtupdate/2-fun-0-'/3                 1   0.00      1  [      1.00]
erl_lint:'-expr_list/3-fun-0-'/3                1   0.00      1  [      1.00]
erl_lint:'-pack_warnings/1-lc$^2/1-2-'/1        4   0.00      1  [      0.25]
erl_lint:'-pack_warnings/1-lc$^0/1-0-'/2        4   0.00      1  [      0.25]
gen_server:call/3                               1   0.00      1  [      1.00]
gen_server:cast/2                               2   0.00      1  [      0.50]
utilities:pforeach/2                            1   0.00      1  [      1.00]
utilities:'-pforeach/2-fun-0-'/2                1   0.00      1  [      1.00]
word_demo:master_run/1                          1   0.00      1  [      1.00]
shell:exprs/7                                   2   0.00      1  [      0.50]
erl_parse:yeccpars2_0/7                         2   0.00      1  [      0.50]
erl_parse:yeccpars2_4/7                         2   0.00      1  [      0.50]
erl_parse:yeccpars2_6/7                         2   0.00      1  [      0.50]
erl_parse:yeccpars2_7/7                         2   0.00      1  [      0.50]
erl_parse:yeccpars2_13/7                        4   0.00      1  [      0.25]
erl_parse:yeccpars2_25/7                        1   0.00      1  [      1.00]
erl_parse:yeccpars2_27/7                        3   0.00      1  [      0.33]
erl_parse:yeccpars2_30/7                        3   0.00      1  [      0.33]
erl_parse:yeccpars2_32/7                        3   0.00      1  [      0.33]
erl_parse:yeccpars2_34/7                        3   0.00      1  [      0.33]
erl_parse:yeccpars2_35/7                        3   0.00      1  [      0.33]
erl_parse:yeccpars2_36/7                        3   0.00      1  [      0.33]
erl_parse:yeccpars2_63/7                        1   0.00      1  [      1.00]
erl_parse:yeccpars2_274/7                       1   0.00      1  [      1.00]
erl_parse:yeccpars2_281/7                       2   0.00      1  [      0.50]
erl_parse:yeccpars2_449/7                       2   0.00      1  [      0.50]
erl_parse:yeccgoto_clause_args/7                2   0.00      1  [      0.50]
erl_parse:yeccgoto_clause_body/7                2   0.00      1  [      0.50]
erl_parse:yeccgoto_expr_700/7                   3   0.00      1  [      0.33]
erl_parse:yeccgoto_function/7                   2   0.00      1  [      0.50]
erl_parse:yeccgoto_function_call/7              2   0.00      1  [      0.50]
io:columns/0                                    2   0.00      2  [      1.00]
io:columns/1                                    2   0.00      2  [      1.00]
io:scan_erl_exprs/3                             2   0.00      2  [      1.00]
io:scan_erl_exprs/4                             2   0.00      2  [      1.00]
edlin:over_paren/6                             10   0.00      2  [      0.20]
io_lib:add_modifier/2                           2   0.00      2  [      1.00]
io_lib:write/1                                  2   0.00      2  [      1.00]
io_lib:nl/0                                     2   0.00      2  [      1.00]
orddict:filter/2                                6   0.00      2  [      0.33]
ordsets:is_element/2                           10   0.00      2  [      0.20]
group:send_drv_reqs/2                           4   0.00      2  [      0.50]
group:get_chars/7                               2   0.00      2  [      1.00]
group:get_chars_apply/9                         2   0.00      2  [      1.00]
group:get_line1/4                               2   0.00      2  [      1.00]
group:save_line_buffer/2                        2   0.00      2  [      1.00]
group:save_line_buffer/1                        2   0.00      2  [      1.00]
group:prompt_bytes/2                            2   0.00      2  [      1.00]
group:append/3                                  2   0.00      2  [      1.00]
erl_scan:attributes_info/2                      4   0.00      2  [      0.50]
erl_scan:set_attribute/3                        9   0.00      2  [      0.22]
erl_scan:default_option/1                       2   0.00      2  [      1.00]
erl_scan:tok3/8                                 5   0.00      2  [      0.40]
erl_eval:expr/4                                 2   0.00      2  [      1.00]
erl_eval:ret_expr/3                             7   0.00      2  [      0.29]
erl_eval:expr_list/4                            2   0.00      2  [      1.00]
erl_eval:expr_list/6                            3   0.00      2  [      0.67]
erl_eval:merge_bindings/2                       3   0.00      2  [      0.67]
tuple_space:'-mapper/1-fun-6-'/1                3   0.00      2  [      0.67]
lists:foldr/3                                   2   0.00      2  [      1.00]
lists:usplit_2_1/6                              4   0.00      2  [      0.50]
lists:rumergel/3                                2   0.00      2  [      1.00]
io_lib_pretty:print/8                           2   0.00      2  [      1.00]
dict:on_bucket/3                                2   0.00      2  [      1.00]
dict:'-store/3-fun-0-'/3                        2   0.00      2  [      1.00]
dict:'-from_list/1-fun-0-'/2                    2   0.00      2  [      1.00]
io_lib_format:string/5                          2   0.00      2  [      1.00]
erl_lint:value_option/7                         2   0.00      2  [      1.00]
erl_lint:return_status/1                        2   0.00      2  [      1.00]
erl_lint:pack_errors/1                          2   0.00      2  [      1.00]
erl_lint:expr_list/3                            2   0.00      2  [      1.00]
erl_lint:vtupdate/2                             4   0.00      2  [      0.50]
erl_lint:vtmerge/2                              2   0.00      2  [      1.00]
erl_lint:vtnew/2                                2   0.00      2  [      1.00]
erl_lint:vtold/2                                2   0.00      2  [      1.00]
erl_lint:check_qlc_hrl/5                        2   0.00      2  [      1.00]
erl_lint:deprecated_function/5                  2   0.00      2  [      1.00]
erl_lint:keyword_warning/3                      2   0.00      2  [      1.00]
erl_lint:is_format_function/2                   2   0.00      2  [      1.00]
erl_lint:'-value_option/7-fun-0-'/7             4   0.00      2  [      0.50]
gen_server:do_cast/2                            2   0.00      2  [      1.00]
otp_internal:obsolete/3                         2   0.00      2  [      1.00]
otp_internal:obsolete_1/3                       2   0.00      2  [      1.00]
erl_internal:bif/3                              2   0.00      2  [      1.00]
epp:default_encoding/0                          2   0.00      2  [      1.00]
word_demo:'-gather/0-fun-0-'/2                  2   0.00      2  [      1.00]
word_demo:'-master_run/1-fun-0-'/1              1   0.00      2  [      2.00]
shell:server_loop/7                             2   0.00      2  [      1.00]
shell:get_prompt_func/0                         2   0.00      2  [      1.00]
shell:default_prompt/1                          2   0.00      2  [      1.00]
shell:used_record_defs/2                        2   0.00      2  [      1.00]
shell:expand_records/2                          2   0.00      2  [      1.00]
shell:local_func_handler/3                      2   0.00      2  [      1.00]
shell:expr/4                                    2   0.00      2  [      1.00]
shell:record_bindings/2                         2   0.00      2  [      1.00]
shell:record_defs/2                             2   0.00      2  [      1.00]
shell:pp/3                                      2   0.00      2  [      1.00]
shell:'-local_func_handler/3-fun-1-'/4          2   0.00      2  [      1.00]
shell:'-get_command/5-fun-0-'/1                 2   0.00      2  [      1.00]
erl_parse:set_line/2                            9   0.00      2  [      0.22]
erl_parse:yeccpars0/5                           2   0.00      2  [      1.00]
erl_parse:yecc_end/1                            2   0.00      2  [      1.00]
erl_parse:yecctoken_location/1                  2   0.00      2  [      1.00]
erl_parse:yeccpars2_5/7                         2   0.00      2  [      1.00]
erl_parse:yeccpars2_10/7                        2   0.00      2  [      1.00]
erl_parse:yeccpars2_12/7                        2   0.00      2  [      1.00]
erl_parse:yeccpars2_23/7                        2   0.00      2  [      1.00]
erl_parse:yeccpars2_26/7                        3   0.00      2  [      0.67]
erl_parse:yeccpars2_28/7                        3   0.00      2  [      0.67]
erl_parse:yeccpars2_29/7                        3   0.00      2  [      0.67]
erl_parse:yeccpars2_33/7                        3   0.00      2  [      0.67]
erl_parse:yeccpars2_37/7                        3   0.00      2  [      0.67]
erl_parse:yeccpars2_41/7                        4   0.00      2  [      0.50]
erl_parse:yeccpars2_43/7                        2   0.00      2  [      1.00]
erl_parse:yeccpars2_49/7                        4   0.00      2  [      0.50]
erl_parse:yeccpars2_87/7                        2   0.00      2  [      1.00]
erl_parse:yeccpars2_178/7                       2   0.00      2  [      1.00]
erl_parse:yeccpars2_266/7                       2   0.00      2  [      1.00]
erl_parse:yeccpars2_269/7                       2   0.00      2  [      1.00]
erl_parse:yeccpars2_283/7                       2   0.00      2  [      1.00]
erl_parse:yeccgoto_expr/7                       3   0.00      2  [      0.67]
erl_parse:yeccgoto_expr_150/7                   3   0.00      2  [      0.67]
erl_parse:yeccgoto_expr_200/7                   3   0.00      2  [      0.67]
erl_parse:yeccgoto_expr_300/7                   3   0.00      2  [      0.67]
erl_parse:yeccgoto_expr_400/7                   3   0.00      2  [      0.67]
erl_parse:yeccgoto_expr_500/7                   3   0.00      2  [      0.67]
erl_parse:yeccgoto_form/7                       2   0.00      2  [      1.00]
erl_parse:yeccgoto_function_clause/7            2   0.00      2  [      1.00]
erl_parse:yeccgoto_function_clauses/7           2   0.00      2  [      1.00]
net_kernel:dflag_unicode_io/1                   4   0.00      2  [      0.50]
erlang:'++'/2                                   4   0.00      2  [      0.50]
erlang:whereis/1                                1   0.00      2  [      2.00]
erlang:now/0                                    1   0.00      2  [      2.00]
erlang:binary_to_list/1                         2   0.00      2  [      1.00]
io:requests/1                                   2   0.00      3  [      1.50]
io:default_input/0                              2   0.00      3  [      1.50]
io:default_output/0                             4   0.00      3  [      0.75]
io:io_requests/4                                4   0.00      3  [      0.75]
edlin:start/1                                   2   0.00      3  [      1.50]
uuid:uuid4/0                                    2   0.00      3  [      1.50]
tuple_space_server:out/1                        2   0.00      3  [      1.50]
orddict:is_key/2                               10   0.00      3  [      0.30]
orddict:to_list/1                               7   0.00      3  [      0.43]
group:io_requests/3                             6   0.00      3  [      0.50]
group:cast/3                                    2   0.00      3  [      1.50]
erl_scan:tokens/4                               2   0.00      3  [      1.50]
erl_scan:scan_atom/6                            4   0.00      3  [      0.75]
erl_scan:scan_dot/6                             2   0.00      3  [      1.50]
erl_scan:tok2/8                                 6   0.00      3  [      0.50]
tuple_space:find_all_matches/2                  5   0.00      3  [      0.60]
tuple_space:lock_then_work/3                    6   0.00      3  [      0.50]
tuple_space:'-mapper/1-fun-21-'/2               6   0.00      3  [      0.50]
lists:flatlength/1                              2   0.00      3  [      1.50]
lists:foreach/2                                 2   0.00      3  [      1.50]
lists:takewhile/2                               3   0.00      3  [      1.00]
sets:new/0                                      2   0.00      3  [      1.50]
dict:from_list/1                                2   0.00      3  [      1.50]
io_lib_format:base/1                            2   0.00      3  [      1.50]
io_lib_format:chars/2                           2   0.00      3  [      1.50]
erl_lint:pseudolocals/0                         6   0.00      3  [      0.50]
erl_lint:exprs_opt/3                            2   0.00      3  [      1.50]
erl_lint:start/2                                2   0.00      3  [      1.50]
global:del_lock/2                               4   0.00      3  [      0.75]
global:handle_set_lock/3                        5   0.00      3  [      0.60]
global:remove_lock/6                            4   0.00      3  [      0.75]
global:kill_monitor_proc/2                      4   0.00      3  [      0.75]
utilities:'-pforeach/2-fun-1-'/2                1   0.00      3  [      3.00]
erlang:spawn_link/1                             2   0.00      3  [      1.50]
shell:get_command1/5                            2   0.00      3  [      1.50]
shell:prompt/5                                  2   0.00      3  [      1.50]
shell:expand_hist/2                             2   0.00      3  [      1.50]
shell:expand_exprs/2                            7   0.00      3  [      0.43]
shell:has_binary/1                              4   0.00      3  [      0.75]
shell:has_bin/1                                 4   0.00      3  [      0.75]
shell:is_expand_variable/1                     10   0.00      3  [      0.30]
shell:result_will_be_saved/0                    2   0.00      3  [      1.50]
shell:apply_fun/3                               2   0.00      3  [      1.50]
shell:columns/0                                 2   0.00      3  [      1.50]
proplists:get_bool/2                            6   0.00      3  [      0.50]
erl_parse:parse_exprs/1                         2   0.00      3  [      1.50]
erl_parse:mapl/2                                4   0.00      3  [      0.75]
erl_parse:parse/1                               2   0.00      3  [      1.50]
erl_parse:yeccpars1/5                           2   0.00      3  [      1.50]
erl_parse:yecctoken_end_location/1              2   0.00      3  [      1.50]
erl_parse:yeccpars2_31/7                        3   0.00      3  [      1.00]
erl_parse:yeccpars2_44/7                        3   0.00      3  [      1.00]
erl_parse:yeccgoto_atomic/7                     4   0.00      3  [      0.75]
erl_parse:yeccgoto_expr_100/7                   3   0.00      3  [      1.00]
erl_parse:yeccgoto_expr_160/7                   3   0.00      3  [      1.00]
erl_parse:yeccgoto_expr_600/7                   3   0.00      3  [      1.00]
erl_parse:yeccgoto_expr_800/7                   3   0.00      3  [      1.00]
erl_parse:yeccgoto_exprs/7                      3   0.00      3  [      1.00]
erlang:list_to_tuple/1                         11   0.00      3  [      0.27]
erlang:erase/1                                  4   0.00      3  [      0.75]
edlin:edit_line/2                               2   0.00      4  [      2.00]
edlin:over_paren/3                              2   0.00      4  [      2.00]
io_lib:format_prompt/2                          2   0.00      4  [      2.00]
io_lib:write/2                                  4   0.00      4  [      1.00]
io_lib:quote_atom/2                             2   0.00      4  [      2.00]
gb_sets:empty/0                                 6   0.00      4  [      0.67]
gb_sets:from_ordset/1                           4   0.00      4  [      1.00]
group:get_chars_loop/8                          2   0.00      4  [      2.00]
group:get_line/4                                2   0.00      4  [      2.00]
erl_scan:opts/3                                 4   0.00      4  [      1.00]
erl_scan:set_attr/3                             9   0.00      4  [      0.44]
erl_scan:'-default_option/1-fun-0-'/1           4   0.00      4  [      1.00]
erl_scan:'-tokens/4-fun-0-'/6                   2   0.00      4  [      2.00]
lists:flatten/1                                 4   0.00      4  [      1.00]
lists:umergel/3                                 6   0.00      4  [      0.67]
lists:umerge2_1/5                               8   0.00      4  [      0.50]
io_lib_pretty:print/2                           2   0.00      4  [      2.00]
dict:get_slot/2                                 2   0.00      4  [      2.00]
dict:mk_seg/1                                  12   0.00      4  [      0.33]
io_lib_format:collect_cseq/2                    6   0.00      4  [      0.67]
io_lib_format:strings/2                         6   0.00      4  [      0.67]
io_lib_format:field_width/3                     6   0.00      4  [      0.67]
io_lib_format:precision/2                       6   0.00      4  [      0.67]
io_lib_format:cdata_to_chars/1                 12   0.00      4  [      0.33]
